date,SP500,NYSE,NASDAQ
2006-08-01,0.021051056620195574,0.017611215027480753,0.04317642844909031
2006-09-01,0.02426939911430903,0.009620409987519452,0.03362626887494713
2006-10-01,0.031021812670561033,0.03541531194929526,0.04683093722463472
2006-11-01,0.016332551131229778,0.02186964356988952,0.027118606729240824
2006-12-01,0.012536866857911555,0.0187789202839852,-0.006800016411039778
2007-01-01,0.013961131307326013,0.01258171541005737,0.01993822954886415
2007-02-01,-0.022088337053377316,-0.014167331309895559,-0.019582284612879697
2007-03-01,0.009930511784698837,0.014933115842904243,0.002269628414534708
2007-04-01,0.04237984325324007,0.03874691764486471,0.041831788228957834
2007-05-01,0.032030723851896425,0.03579924825304737,0.030971664226304263
2007-06-01,-0.01797694386967663,-0.010641036384715363,-0.0004954304983479929
