SP500,NYSE,NASDAQ
-0.116456513,-0.118097095,-0.069103238
0.081952694,0.075473452,0.103828689
0.089772218,0.101949166,0.116407599
0.051720577,0.08526333,0.032669544
0.000195808,-0.016612708,0.033643439
0.071521949,0.084259694,0.075272681
0.033009336,0.033515303,0.015327998
0.035100067,0.039497133,0.05488993
-0.01995988,-0.025118616,-0.03710534
0.055779077,0.051039781,0.04750153
0.01761452,0.012971818,0.056452169
-0.037675124,-0.042822058,-0.0551707
0.02811474,0.021735493,0.041464213
0.057132815,0.057015279,0.068919577
0.014651373,0.003565175,0.026026589
-0.085531573,-0.095801724,-0.086590711
-0.055388449,-0.048560115,-0.067726549
0.066515799,0.07864389,0.066689216
-0.048611823,-0.043039163,-0.064420812
0.083928474,0.082551082,0.113711464
0.036193052,0.031403646,0.056942756
-0.002292876,-0.011029094,-0.00366784
0.063256488,0.069281543,0.060059644
0.02239297,0.0217531,0.017639314
0.031456577,0.03612347,0.029985717
-0.001047862,-0.003986027,-0.000431378
0.028096939,0.031206982,0.032708962
-0.013592919,-0.022641749,-0.013396964
-0.018426186,-0.018835647,-0.02203049
-0.021708356,-0.029231473,-0.006199097
-0.058467502,-0.07064133,-0.066338123
-0.074467101,-0.102987324,-0.065715195
0.102306592,0.107624263,0.105596067
-0.005071554,-0.010483949,-0.024156818
0.008496565,-0.00099859,-0.005813896
0.042660044,0.04720931,0.077059912
0.039787345,0.034452388,0.0529641
0.030851476,0.011481557,0.041164845
-0.0075257,-0.01076449,-0.014731604
-0.064699308,-0.084128292,-0.074611099
0.03879272,0.044273484,0.037388134
0.012518885,0.007926921,0.001521804
0.01957061,0.01901957,0.042440521
0.023947119,0.029028331,0.015937101
-0.019987842,-0.003593847,-0.0456306
0.002842672,0.004736048,0.011026475
0.007043368,0.021921465,0.003074763
0.049197792,0.052058642,0.039806307
0.010999927,-0.002926265,0.005731257
0.035355294,0.026517297,0.03339916
0.017924166,0.018477526,0.018577593
0.020550202,0.002733135,0.037476897
-0.015112929,-0.020590411,-0.015354926
0.048277728,0.047797348,0.063501323
-0.031798268,-0.030610752,-0.010116157
0.029315591,0.037118588,0.049351469
0.043629971,0.039575415,0.038550169
0.02766329,0.017193702,0.035138192
0.023289474,0.021094309,0.028339234
-0.036231408,-0.042491717,-0.017562248
0.042213375,0.044944404,0.048568802
0.006908248,0.009727191,-0.025657565
0.006181643,0.009397439,-0.020312159
0.020812196,0.012078597,0.030649114
0.018878997,0.020530085,0.038280915
-0.015194688,-0.023311844,-0.008751565
0.036963644,0.029383868,0.047047572
-0.015635436,-0.031577122,-0.019150494
0.022936399,0.013186638,0.030109275
0.024237474,0.010129268,0.034153888
