date,SP500,NYSE,NASDAQ,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
2004-01-01,0.017128847057715113,0.013465534544168989,0.030856164760053595,0.019525,0.015763,0.012966,0.009444,0.005584,0.002965,0.001233,0.000868,0.000696,0.004883
2004-02-01,0.012135045336105321,0.021254233242183673,-0.01773983215227748,0.021635,0.023563,0.017481,0.01592,0.012425,0.00532,0.001592,0.000663,0.000623,0.0054
2004-03-01,-0.01649420417864178,-0.014040865479381992,-0.017694110954892928,0.014178,0.013929,0.014353,0.012258,0.011272,0.003441,0.00141,0.000918,0.000844,0.006445
2004-04-01,-0.016933314713064362,-0.024488761709443807,-0.037849661052959505,-0.067295,-0.059584,-0.04909,-0.040496,-0.033809,-0.012968,-0.00331,0.000816,0.000795,0.003202
2004-05-01,0.012011028036096327,0.00701021158942261,0.034091778861411015,-0.003441,-0.0041,-0.006666,-0.004916,-0.004927,-0.001439,-0.000371,0.000749,0.000603,0.005851
2004-06-01,0.017829111362111405,0.018073938837703807,0.030266082368547664,0.011977,0.013616,0.010107,0.008733,0.00557,0.000646,0.0002,0.000819,0.000817,0.003173
2004-07-01,-0.03489223484716675,-0.030732570713642104,-0.08158216248933137,0.016703,0.014664,0.01208,0.00959,0.007603,0.003181,0.001789,0.000896,0.000919,-0.001581
2004-08-01,0.002284738319904278,0.007944172193999677,-0.026446603308028394,0.043186,0.039549,0.032183,0.026443,0.020377,0.008366,0.003512,0.001258,0.001116,0.000528
2004-09-01,0.009320306218270069,0.01781766979914501,0.031456909540534816,0.009077,0.008695,0.002804,0.00204,0.000598,-0.001396,-0.000269,0.001327,0.001185,0.002111
2004-10-01,0.013916952102817959,0.018466984969220945,0.0403740044285934,0.01872,0.015813,0.011144,0.008994,0.006911,0.003467,0.001553,0.001111,0.001129,0.005266
2004-11-01,0.037868776906828217,0.045708120407729425,0.05985384002751015,-0.025773,-0.022469,-0.017663,-0.018028,-0.014843,-0.00572,-0.002025,0.001474,0.001541,0.000524
2004-12-01,0.03194257321148264,0.03428276387633744,0.036813745865369896,0.029946,0.024136,0.013398,0.011803,0.00749,0.001828,0.001464,0.002104,0.001672,-0.003665
2005-01-01,-0.025615767695305713,-0.022348378933363833,-0.0533557567018903,0.038437,0.028471,0.009351,0.004691,0.000411,-0.000905,0.000604,0.00169,0.001661,0.002102
2005-02-01,0.018726898056026897,0.03211697013354886,-0.005196707818297064,-0.015657,-0.014668,-0.013112,-0.012305,-0.010545,-0.002707,-0.000387,0.001613,0.001641,0.005768
2005-03-01,-0.019302760921690698,-0.021217269624562718,-0.02591635481814336,-0.00093,-0.004377,-0.004518,-0.003489,-0.002861,0.000109,0.001544,0.002385,0.002123,0.007821
2005-04-01,-0.020313511500222425,-0.022463084741591643,-0.03957789196587669,0.039067,0.035333,0.026104,0.020601,0.015349,0.006062,0.003691,0.002189,0.002072,0.006725
2005-05-01,0.02951224448901968,0.017820364566290436,0.0735041151082223,0.032511,0.03217,0.018363,0.020712,0.010154,0.004763,0.003251,0.002672,0.002395,-0.001028
2005-06-01,-0.00014272436450557535,0.01162904245646601,-0.005459174104879949,0.022747,0.017606,0.009046,0.002256,0.004573,0.001778,0.001802,0.002256,0.002263,0.000514
2005-07-01,0.03533653227186839,0.03523879246600181,0.060308912378499,-0.036368,-0.031633,-0.021346,-0.020219,-0.01506,-0.004307,-0.000608,0.002114,0.002383,0.004627
2005-08-01,-0.011285547502899007,0.0025953413242323364,-0.015098554248957896,0.035543,0.032788,0.020806,0.018484,0.015683,0.007228,0.004896,0.003081,0.00292,0.005118
2005-09-01,0.006924991121192825,0.018096799629088167,-0.000185951179104471,-0.041069,-0.033298,-0.018281,-0.017388,-0.012072,-0.003314,-6e-05,0.003136,0.002848,0.01222
2005-10-01,-0.01790003390634265,-0.026532624452206832,-0.014695941511690513,-0.022459,-0.019975,-0.011898,-0.011174,-0.008743,-0.000763,0.001098,0.002667,0.002728,0.002012
2005-11-01,0.03458121395472791,0.02814273025396652,0.05170778004327925,0.012485,0.007972,0.006295,0.006018,0.004313,0.003289,0.002993,0.003393,0.003045,-0.008032
2005-12-01,-0.0009528030899303985,0.014113980277858929,-0.01239273709524813,0.026477,0.027379,0.011198,0.010786,0.005806,0.003983,0.003666,0.00317,0.00316,-0.004049
2006-01-01,0.025147895607580573,0.044469936653792175,0.044563737121438685,-0.015976,-0.011112,-0.004563,-0.004991,-0.002261,0.001664,0.001937,0.003212,0.003488,0.007622
2006-02-01,0.0004530550834003222,-0.005683133710194355,-0.010651531962240668,0.012809,0.008721,0.000153,-0.002072,-0.001712,0.000597,0.002138,0.00327,0.003322,0.002017
2006-03-01,0.011034703509450239,0.02118556514969505,0.025276339205070997,-0.055518,-0.040187,-0.019782,-0.010402,-0.006159,0.001006,0.002633,0.003923,0.003642,0.005536
2006-04-01,0.012082366269225986,0.028524504468460776,-0.007386837827827897,-0.038002,-0.024514,-0.008795,-0.004494,-0.001292,0.002915,0.003109,0.00334,0.003559,0.008509
2006-05-01,-0.03140492932031602,-0.03389408253751647,-0.06386343109061787,-0.005631,-0.001525,-0.001047,-0.001838,-0.001677,0.001361,0.002628,0.004294,0.004195,0.004963
2006-06-01,8.659275533506872e-05,-0.0024501563707950424,-0.0031210513881676505,0.010872,0.01062,0.003077,0.003175,0.000956,0.0015,0.002458,0.003842,0.00397,0.001975
2006-07-01,0.005072989405988437,0.008902556816273943,-0.03782272412389087,0.023037,0.021198,0.016418,0.015436,0.013136,0.008253,0.005809,0.004207,0.003976,0.002957
2006-08-01,0.021051056620195574,0.017611215027480753,0.04317642844909031,0.033521,0.028996,0.021575,0.016606,0.013386,0.0073,0.005217,0.004477,0.004283,0.001966
2006-09-01,0.02426939911430903,0.009620409987519452,0.03362626887494713,0.022313,0.017554,0.011343,0.010171,0.007946,0.004989,0.004391,0.004418,0.004047,-0.004904
2006-10-01,0.031021812670561033,0.03541531194929526,0.04683093722463472,0.011512,0.00811,0.007074,0.00576,0.004238,0.003894,0.003965,0.003932,0.004076,-0.005421
2006-11-01,0.016332551131229778,0.02186964356988952,0.027118606729240824,0.028752,0.020207,0.013674,0.011619,0.008574,0.005344,0.004218,0.004312,0.004243,-0.001487
2006-12-01,0.012536866857911555,0.0187789202839852,-0.006800016411039778,-0.035085,-0.02417,-0.015746,-0.01155,-0.00749,-0.000605,0.002285,0.004088,0.004036,0.001489
2007-01-01,0.013961131307326013,0.01258171541005737,0.01993822954886415,-0.010679,-0.007534,-0.0036,-0.001775,-0.000763,0.001951,0.003995,0.00441,0.004328,0.003053
2007-02-01,-0.022088337053377316,-0.014167331309895559,-0.019582284612879697,0.035901,0.028796,0.019999,0.018779,0.015508,0.008344,0.005063,0.003807,0.003837,0.00535
2007-03-01,0.009930511784698837,0.014933115842904243,0.002269628414534708,-0.021418,-0.01211,-0.002247,0.001164,0.003053,0.004382,0.003904,0.004365,0.004257,0.009106
2007-04-01,0.04237984325324007,0.03874691764486471,0.041831788228957834,0.008677,0.008095,0.006799,0.005634,0.004633,0.003723,0.003403,0.004529,0.004348,0.006496
